REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Podkarpackie,choroby wewnętrzne,0.14,0.15,0.16,0.15,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.33,0.35,0.33
Podlaskie,choroby wewnętrzne,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.15,0.15,0.17,0.15,0.52,0.54,0.54
Pomorskie,choroby wewnętrzne,0.16,0.18,0.18,0.18,0.17,0.19,0.19,0.19,0.19,0.17,0.18,0.48,0.47,0.46
Śląskie,choroby wewnętrzne,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.20,0.20,0.53,0.54,0.54
Świętokrzyskie,choroby wewnętrzne,0.21,0.21,0.20,0.20,0.18,0.18,0.17,0.17,0.16,0.16,0.17,0.44,0.44,0.44
Warmińsko-Mazurskie,choroby wewnętrzne,0.15,0.16,0.15,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.18,0.35,0.37,0.37
Wielkopolskie,choroby wewnętrzne,0.13,0.13,0.13,0.13,0.13,0.11,0.10,0.10,0.12,0.10,0.10,0.40,0.39,0.41
Zachodniopomorskie,choroby wewnętrzne,0.15,0.15,0.17,0.18,0.16,0.13,0.14,0.14,0.14,0.15,0.17,0.37,0.36,0.37
Polska,dermatologia i wenerologia,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05
Dolnośląskie,dermatologia i wenerologia,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.05,0.05
Kujawsko-Pomorskie,dermatologia i wenerologia,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.04,0.04
Lubelskie,dermatologia i wenerologia,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04
Lubuskie,dermatologia i wenerologia,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Łódzkie,dermatologia i wenerologia,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.07
Małopolskie,dermatologia i wenerologia,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.05
Mazowieckie,dermatologia i wenerologia,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.06,0.06,0.07
Opolskie,dermatologia i wenerologia,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03
Podkarpackie,dermatologia i wenerologia,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04
Podlaskie,dermatologia i wenerologia,0.03,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.06,0.06,0.06
Pomorskie,dermatologia i wenerologia,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.05,0.06,0.06
Śląskie,dermatologia i wenerologia,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.04,0.04,0.04
Świętokrzyskie,dermatologia i wenerologia,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04
Warmińsko-Mazurskie,dermatologia i wenerologia,0.02,0.02,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.04,0.03,0.04
Wielkopolskie,dermatologia i wenerologia,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05
Zachodniopomorskie,dermatologia i wenerologia,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.04,0.03,0.03,0.05,0.05,0.05
Polska,kardiologia,0.04,0.05,0.05,0.06,0.06,0.07,0.08,0.08,0.08,0.08,0.08,0.13,0.13,0.14
Dolnośląskie,kardiologia,0.04,0.04,0.05,0.05,0.06,0.07,0.06,0.06,0.06,0.07,0.07,0.13,0.13,0.14
Kujawsko-pomorskie,kardiologia,0.04,0.04,0.05,0.06,0.06,0.07,0.08,0.08,0.08,0.09,0.10,0.12,0.12,0.12
Lubelskie,kardiologia,0.04,0.05,0.06,0.05,0.05,0.07,0.08,0.08,0.07,0.07,0.07,0.13,0.13,0.14
Lubuskie,kardiologia,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.08
Łódzkie,kardiologia,0.05,0.05,0.05,0.05,0.06,0.06,0.09,0.08,0.09,0.10,0.11,0.15,0.15,0.15
Małopolskie,kardiologia,0.05,0.05,0.06,0.06,0.08,0.08,0.08,0.08,0.09,0.09,0.10,0.15,0.16,0.16
Mazowieckie,kardiologia,0.06,0.07,0.08,0.09,0.09,0.10,0.11,0.11,0.11,0.12,0.11,0.19,0.19,0.21
Opolskie,kardiologia,0.03,0.03,0.05,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.08,0.08,0.08
Podkarpackie,kardiologia,0.04,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.08,0.07,0.08,0.09,0.10,0.10
Podlaskie,kardiologia,0.02,0.03,0.03,0.04,0.04,0.06,0.06,0.06,0.07,0.07,0.07,0.11,0.12,0.12
Pomorskie,kardiologia,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.13,0.13,0.13
Śląskie,kardiologia,0.05,0.06,0.06,0.07,0.08,0.09,0.10,0.09,0.09,0.09,0.10,0.15,0.16,0.17
Świętokrzyskie,kardiologia,0.06,0.06,0.06,0.07,0.08,0.09,0.09,0.10,0.10,0.10,0.10,0.13,0.14,0.14
Warmińsko-Mazurskie,kardiologia,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.09,0.09,0.09
Wielkopolskie,kardiologia,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.09,0.09,0.10
Zachodniopomorskie,kardiologia,0.04,0.04,0.04,0.04,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08
Polska,medycyna rodzinna,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.27,0.28,0.29
Dolnośląskie,medycyna rodzinna,0.14,0.16,0.16,0.16,0.17,0.17,0.16,0.15,0.14,0.15,0.15,0.28,0.29,0.30
Kujawsko-Pomorskie,medycyna rodzinna,0.13,0.14,0.15,0.15,0.15,0.17,0.17,0.17,0.17,0.18,0.19,0.24,0.25,0.25
Lubelskie,medycyna rodzinna,0.34,0.33,0.34,0.34,0.34,0.34,0.35,0.34,0.35,0.34,0.34,0.43,0.47,0.45
Lubuskie,medycyna rodzinna,0.23,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25
Łódzkie,medycyna rodzinna,0.14,0.15,0.18,0.16,0.18,0.16,0.18,0.17,0.18,0.18,0.18,0.28,0.29,0.29
Małopolskie,medycyna rodzinna,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.26,0.27,0.27
Mazowieckie,medycyna rodzinna,0.13,0.14,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.29,0.29,0.34
Opolskie,medycyna rodzinna,0.13,0.13,0.12,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.13,0.19,0.20,0.19
Podkarpackie,medycyna rodzinna,0.20,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.23,0.23,0.26,0.27,0.28
Podlaskie,medycyna rodzinna,0.30,0.32,0.33,0.33,0.33,0.34,0.34,0.31,0.32,0.32,0.32,0.43,0.51,0.50
Pomorskie,medycyna rodzinna,0.09,0.09,0.11,0.12,0.13,0.14,0.15,0.16,0.16,0.13,0.15,0.23,0.23,0.23
