REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Łódzkie,miasto,3.03,3.05,5.42,5.45,5.60,5.66,5.70,7.00,6.89,6.95,7.21,7.31,7.41,7.47,7.53
Małopolskie,miasto,5.07,5.01,5.02,5.03,5.06,5.07,5.09,5.17,5.17,5.15,5.14,6.19,6.24,6.23,6.24
Mazowieckie,miasto,4.52,4.54,5.04,5.05,5.33,5.34,5.53,5.90,6.40,6.39,6.11,6.02,6.04,5.95,5.99
Opolskie,miasto,5.37,5.40,5.43,5.47,5.50,5.54,5.56,5.49,5.47,5.50,5.66,5.99,6.04,6.13,5.63
Podkarpackie,miasto,4.77,5.02,5.02,5.53,5.52,5.98,6.18,6.23,6.28,6.29,6.67,6.72,6.76,6.96,6.69
Podlaskie,miasto,4.40,4.76,5.38,5.75,5.86,5.46,5.88,5.61,5.84,6.00,6.12,7.71,7.12,7.22,6.90
Pomorskie,miasto,4.75,5.32,5.34,5.37,5.56,5.70,5.78,5.81,5.85,5.84,5.81,5.92,5.92,5.90,6.54
Śląskie,miasto,5.22,5.34,5.67,5.69,5.84,6.42,7.10,6.97,7.04,7.44,8.08,8.32,8.51,8.57,8.72
Świętokrzyskie,miasto,4.37,4.40,4.52,4.56,4.60,4.62,4.65,4.70,4.71,4.69,4.88,5.19,5.24,5.27,5.35
Warmińsko-Mazurskie,miasto,3.02,3.13,3.30,3.33,3.34,3.53,3.54,3.58,5.01,5.08,5.21,5.57,5.66,5.74,5.81
Wielkopolskie,miasto,5.78,5.83,5.88,5.62,9.00,9.08,9.13,9.18,9.24,9.30,9.42,9.35,9.65,9.80,9.85
Zachodniopomorskie,miasto,6.04,6.04,6.07,6.23,6.26,5.64,5.77,5.88,6.45,6.68,7.31,7.39,7.45,7.53,7.93
Polska,wieś,0.68,0.69,0.71,0.72,0.73,0.81,0.82,0.83,0.86,0.88,0.88,0.95,1.03,1.09,1.16
Dolnośląskie,wieś,1.14,1.14,1.13,1.12,1.12,1.13,1.13,1.13,1.18,1.17,1.15,1.35,1.37,1.36,1.46
Kujawsko-Pomorskie,wieś,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,1.82,1.82,2.16
Lubelskie,wieś,0.49,0.50,0.52,0.52,0.59,0.60,0.60,0.60,0.61,0.61,0.62,0.63,0.61,0.62,0.64
Lubuskie,wieś,2.16,2.16,2.15,2.14,2.47,2.61,2.61,2.61,2.62,2.62,2.65,2.66,2.66,2.68,2.89
Łódzkie,wieś,0.05,0.05,0.05,0.16,0.16,0.56,0.56,0.57,0.57,0.57,0.56,0.62,0.72,0.71,0.80
Małopolskie,wieś,0.06,0.06,0.08,0.08,0.08,0.08,0.11,0.11,0.11,0.11,0.11,0.30,0.31,0.31,0.32
Mazowieckie,wieś,1.00,1.00,0.99,0.99,1.00,1.10,1.09,1.09,1.31,1.40,1.38,1.38,1.25,1.25,1.31
Opolskie,wieś,0.16,0.18,0.18,0.19,0.19,0.19,0.20,0.20,0.21,0.21,0.21,0.56,0.56,0.57,0.66
Podkarpackie,wieś,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.07,0.47,0.47
Podlaskie,wieś,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26
Pomorskie,wieś,1.10,1.09,1.35,1.33,1.32,1.37,1.36,1.36,1.34,1.33,1.42,1.28,1.27,1.27,1.26
Śląskie,wieś,0.94,0.94,0.96,0.95,0.95,0.95,0.93,0.99,0.99,0.99,1.01,1.02,1.02,1.13,1.14
Świętokrzyskie,wieś,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.06,0.07,0.07,0.07,0.07,0.07,0.10,0.10
Warmińsko-Mazurskie,wieś,0.09,0.09,0.17,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.28
Wielkopolskie,wieś,1.97,2.01,2.00,2.00,1.99,1.98,2.10,2.09,2.08,2.07,2.05,2.28,2.28,2.29,2.29
Zachodniopomorskie,wieś,1.12,1.26,1.29,1.29,1.32,2.23,2.23,2.28,2.28,2.37,2.44,2.48,2.59,2.87,3.39
