REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kujawsko-Pomorskie,program ochrony środowiska,,,,,,,,,,,66,,68,,65
Lubelskie,program ochrony środowiska,,,,,,,,,,,43,,47,,44
Lubuskie,program ochrony środowiska,,,,,,,,,,,23,,23,,25
Łódzkie,program ochrony środowiska,,,,,,,,,,,55,,55,,42
Małopolskie,program ochrony środowiska,,,,,,,,,,,59,,57,,58
Mazowieckie,program ochrony środowiska,,,,,,,,,,,140,,137,,132
Opolskie,program ochrony środowiska,,,,,,,,,,,29,,30,,32
Podkarpackie,program ochrony środowiska,,,,,,,,,,,47,,55,,57
Podlaskie,program ochrony środowiska,,,,,,,,,,,36,,45,,44
Pomorskie,program ochrony środowiska,,,,,,,,,,,56,,40,,45
Śląskie,program ochrony środowiska,,,,,,,,,,,89,,95,,102
Świętokrzyskie,program ochrony środowiska,,,,,,,,,,,41,,42,,37
Warmińsko-Mazurskie,program ochrony środowiska,,,,,,,,,,,43,,46,,45
Wielkopolskie,program ochrony środowiska,,,,,,,,,,,97,,96,,111
Zachodniopomorskie,program ochrony środowiska,,,,,,,,,,,35,,43,,47
Polska,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,1995,,2011,,2021
Dolnośląskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,145,,141,,137
Kujawsko-Pomorskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,108,,119,,120
Lubelskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,171,,170,,174
Lubuskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,65,,61,,62
Łódzkie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,143,,153,,153
Małopolskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,157,,154,,158
Mazowieckie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,236,,255,,242
Opolskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,62,,59,,66
Podkarpackie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,124,,125,,125
Podlaskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,73,,72,,73
Pomorskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,102,,95,,103
Śląskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,140,,139,,138
Świętokrzyskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,75,,69,,72
Warmińsko-Mazurskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,99,,103,,103
Wielkopolskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,194,,199,,203
Zachodniopomorskie,roczny program współpracy z organizacjami pozarządowymi i innymi podmiotami prowadzącymi działalność pożytku publicznego,,,,,,,,,,,101,,97,,92
Polska,strategia rozwoju gminy,,,,,,,,,,,1546,,1621,,1683
Dolnośląskie,strategia rozwoju gminy,,,,,,,,,,,109,,113,,121
Kujawsko-Pomorskie,strategia rozwoju gminy,,,,,,,,,,,86,,99,,99
Lubelskie,strategia rozwoju gminy,,,,,,,,,,,141,,131,,146
Lubuskie,strategia rozwoju gminy,,,,,,,,,,,52,,53,,58
Łódzkie,strategia rozwoju gminy,,,,,,,,,,,101,,110,,115
Małopolskie,strategia rozwoju gminy,,,,,,,,,,,132,,142,,130
Mazowieckie,strategia rozwoju gminy,,,,,,,,,,,190,,184,,193
Opolskie,strategia rozwoju gminy,,,,,,,,,,,45,,46,,44
Podkarpackie,strategia rozwoju gminy,,,,,,,,,,,103,,126,,130
Podlaskie,strategia rozwoju gminy,,,,,,,,,,,47,,46,,57
Pomorskie,strategia rozwoju gminy,,,,,,,,,,,88,,92,,92
Śląskie,strategia rozwoju gminy,,,,,,,,,,,106,,113,,118
Świętokrzyskie,strategia rozwoju gminy,,,,,,,,,,,67,,64,,60
Warmińsko-Mazurskie,strategia rozwoju gminy,,,,,,,,,,,67,,79,,80
Wielkopolskie,strategia rozwoju gminy,,,,,,,,,,,140,,150,,165
Zachodniopomorskie,strategia rozwoju gminy,,,,,,,,,,,72,,73,,75
Polska,strategia rozwiązywania problemów społecznych,,,,,,,,,,,1053,,1085,,1059
Dolnośląskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,61,,68,,61
Kujawsko-Pomorskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,57,,70,,70
Lubelskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,103,,101,,96
Lubuskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,27,,30,,32
Łódzkie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,66,,65,,56
Małopolskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,78,,83,,76
Mazowieckie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,130,,123,,137
Opolskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,23,,21,,27
Podkarpackie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,66,,71,,67
Podlaskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,40,,42,,41
Pomorskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,68,,64,,65
Śląskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,91,,97,,92
Świętokrzyskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,44,,42,,35
Warmińsko-Mazurskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,63,,68,,65
Wielkopolskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,89,,87,,92
Zachodniopomorskie,strategia rozwiązywania problemów społecznych,,,,,,,,,,,47,,53,,47
